resblock_id,resblock_name,district_name,jiedao
id5011000014556,宋家滩小区,普陀区,长风新村街道
id5011000014558,徐汇长春苑,徐汇区,田林街道
id5011000014559,花溪园,普陀区,曹杨新村街道
id5011000014560,上南二村,浦东新区,上钢新村街道
id5011000014561,明城花苑,浦东新区,潍坊新村街道
id5011000014562,放生池花园,松江区,方松街道
id5011000014563,兴银花园,闵行区,颛桥镇
id5011000014564,东荷小区,浦东新区,浦兴路街道
id5011000014565,阳光翠庭,松江区,方松街道
id5011000014566,宝北小区,长宁区,程家桥街道
id5011000014567,欣宇小区,浦东新区,南码头路街道
id5011000014568,东方悦居,浦东新区,三林镇
id5011000014569,原水小区卢湾,黄浦区,打浦桥街道
id5011000014571,华清名苑,虹口区,广中路街道
id5011000014572,鹤北新村,闵行区,江川路街道
id5011000014573,引翔港小区,杨浦区,大桥街道
id5011000014575,同润菲诗艾伦,松江区,泗泾镇
id5011000014577,万里双子座,普陀区,长征镇
id5011000014578,万里欣苑,普陀区,长征镇
id5011000014580,金鑫花园别墅,宝山区,大场镇
id5011000014581,华欣苑别墅,宝山区,大场镇
id5011000014582,好旺苑,宝山区,大场镇
id5011000014583,申泉花苑,宝山区,大场镇
id5011000014584,和诚公寓,静安区,共和新路街道
id5011000014585,南方新村,闵行区,梅陇镇
id5011000014586,春之声公寓,浦东新区,塘桥街道
id5011000014587,半岛豪门公寓,闵行区,莘庄镇
id5011000014588,梅川二街坊,普陀区,长征镇
id5011000014589,绿波景园,松江区,泗泾镇
id5011000014591,瑞和苑,浦东新区,航头镇
id5011000014592,万里晶品苑,普陀区,真如镇
id5011000014593,丁香园,徐汇区,康健新村街道
id5011000014593,丁香园,长宁区,康健新村街道
id5011000014593,花苑村丁香园,徐汇区,康健新村街道
id5011000014594,申良花园,闵行区,颛桥镇
id5011000014595,嘉华山庄,嘉定区,新成路街道
id5011000014596,雅庐苑,黄浦区,老西门街道
id5011000014597,曹江公寓,嘉定区,江桥镇
id5011000014599,虹浦新城,闵行区,浦江镇
id5011000014599,虹浦新城南区,闵行区,浦江镇
id5011000014600,田林八村,徐汇区,田林街道
id5011000014602,新乐小区,长宁区,新泾镇
id5011000014604,新光大楼,浦东新区,潍坊新村街道
id5011000014605,华鹏花苑,宝山区,大场镇
id5011000014606,行知家园,宝山区,大场镇
id5011000014607,嘉华苑宝山,宝山区,大场镇
id5011000014608,金华苑,普陀区,长征镇
id5011000014609,铂金华府,宝山区,大场镇
id5011000014610,玉华苑,宝山区,大场镇
id5011000014611,远景佳苑,宝山区,大场镇
id5011000014611,远景佳苑,闵行区,大场镇
id5011000014611,远景佳苑一期,宝山区,大场镇
id5011000014612,复星花园行知路635弄,宝山区,大场镇
id5011000014613,公馆77,黄浦区,老西门街道
id5011000014616,梅陇十一村,徐汇区,凌云路街道
id5011000014617,浦煤新村,浦东新区,高行镇
id5011000014618,融创盛世滨江,黄浦区,五里桥街道
id5011000014618,融创滨江壹号院,黄浦区,五里桥街道
id5011000014619,东丰林居,浦东新区,周浦镇
id5011000014621,莘城公寓,闵行区,莘庄镇
id5011000014622,怡佳公寓,普陀区,桃浦镇
id5011000014623,宝虹家园,宝山区,罗泾镇
id5011000014624,中复小区,黄浦区,小东门街道
id5011000014625,寺前浜,浦东新区,金杨新村街道
id5011000014627,复旦书馨公寓,杨浦区,五角场街道
id5011000014628,象屿名城,松江区,九亭镇
id5011000014629,梅陇十村,徐汇区,凌云路街道
id5011000014630,馥华苑,闵行区,七宝镇
id5011000014631,海江公寓,宝山区,友谊路街道
id5011000014632,华新明珠苑,青浦区,华新镇
id5011000014634,海棠新村,金山区,石化街道
id5011000014635,永泉公寓,静安区,彭浦镇
id5011000014640,通河三村,宝山区,张庙街道
id5011000014640,民悦苑,宝山区,张庙街道
id5011000014640,民悦苑,,张庙街道
id5011000014642,天星苑,闵行区,江川路街道
id5011000014643,田图苑,长宁区,新虹街道
id5011000014644,罗新苑,宝山区,罗店镇
id5011000014645,东广大厦,虹口区,广中路街道
id5011000014646,月浦八村,宝山区,月浦镇
id5011000014647,佳伟小区,虹口区,凉城新村街道
id5011000014648,远东小区,浦东新区,合庆镇
id5011000014649,上钢八九村,浦东新区,上钢新村街道
id5011000014649,上钢九村,浦东新区,上钢新村街道
id5011000014650,金铭福邸,闵行区,江川路街道
id5011000014651,上海之春,普陀区,新成路街道
id5011000014651,上海之春,嘉定区,新成路街道
id5011000014652,精文城上城,静安区,芷江西路街道
id5011000014653,嘉利坊,嘉定区,真新街道
id5011000014654,罗阳四村,闵行区,梅陇镇
id5011000014656,蒙自新村,黄浦区,五里桥街道
id5011000014658,绿地新江桥城一期,嘉定区,江桥镇
id5011000014659,中虹翡翠园,虹口区,凉城新村街道
id5011000014660,思美公寓,静安区,临汾路街道
id5011000014662,美丽家园,闵行区,莘庄镇
id5011000014663,广中小区,虹口区,凉城新村街道
id5011000014664,盛桥四村,宝山区,月浦镇
id5011000014665,锦灏佳园,静安区,共和新路街道
id5011000014666,桃园新村川沙,浦东新区,川沙新镇
id5011000014667,新申花城茉莉苑,闵行区,莘庄镇
id5011000014669,华南公寓,徐汇区,漕河泾街道
id5011000014670,罗秀新村,徐汇区,长桥街道
id5011000014671,君欣豪庭,杨浦区,江浦路街道
id5011000014672,仁恒森兰雅苑公寓,浦东新区,高行镇
id5011000014672,仁恒森兰雅苑,浦东新区,高行镇
id5011000014672,仁恒森兰雅苑一期,浦东新区,高行镇
id5011000014673,万科城花新园,闵行区,七宝镇
id5011000014674,华丽家族汇景天地公寓,黄浦区,五里桥街道
id5011000014674,华丽家族汇景天地商住,黄浦区,五里桥街道
id5011000014674,华丽家族汇景天地商业类,黄浦区,五里桥街道
id5011000014675,欣源公寓,闵行区,七宝镇
id5011000014677,范北小区,长宁区,周家桥街道
id5011000014679,欣纪苑,长宁区,华阳路街道
id5011000014680,天天花园,黄浦区,打浦桥街道
id5011000014681,明月清泉新苑,松江区,新桥镇
