resblock_id,resblock_name,jiedao
id5011000020423,国权路461弄,五角场街道
id5011000020425,彭顺小区,彭浦新村街道
id5011000020425,彭浦新村,彭浦新村街道
id5011000020425,和新小区,彭浦新村街道
id5011000020431,大连西路200号,曲阳路街道
id5011000020432,银凯公寓,南翔镇
id5011000020433,政肃路151弄,五角场街道
id5011000020436,三门路505弄,高境镇
id5011000020438,民星路568弄,殷行街道
id5011000020439,和田路421弄,共和新路街道
id5011000020440,黄山路131号,广中路街道
id5011000020441,建邦16区,嘉兴路街道
id5011000020442,新市南路579弄,江湾镇街道
id5011000020448,君叶公寓,五角场镇
id5011000020456,中环国际公寓二期,庙行镇
id5011000020457,杨园新苑,高东镇
id5011000020459,旺增公寓,大桥街道
id5011000020461,打虎山路1弄,江浦路街道
id5011000020468,汾西路641号,彭浦新村街道
id5011000020473,广中路554号,广中路街道
id5011000020476,南大路511弄,大场镇
id5011000020477,辽阳路321弄,江浦路街道
id5011000020479,许昌路1481弄,江浦路街道
id5011000020480,四平路581号,欧阳路街道
id5011000020482,武威路1057号,桃浦镇
id5011000020484,曲阳路586号,曲阳路街道
id5011000020487,南大路18弄,大场镇
id5011000020491,星海家园,曹路镇
id5011000020492,密云路453号,曲阳路街道
id5011000020493,玉田支路41号,曲阳路街道
id5011000020495,承安翡翠公馆,安亭镇
id5011000020497,鑫隆公寓,大桥街道
id5011000020500,许昌路1479弄,江浦路街道
id5011000020504,博泰新苑,安亭镇
id5011000020506,池沟路62弄,江湾镇街道
id5011000020510,贵阳路30弄,定海路街道
id5011000020511,宁武路501号,大桥街道
id5011000020514,双阳路507号,控江路街道
id5011000020517,绿地远香湖1号,马陆镇
id5011000020519,新普盛公寓,张庙街道
id5011000020520,兴景佳苑,友谊路街道
id5011000020529,友谊路127号,友谊路街道
id5011000020530,绥化路228弄,月浦镇
id5011000020532,长江西路1160弄,张庙街道
id5011000020532,泗塘新村,张庙街道
id5011000020533,龙缘花园,张庙街道
id5011000020534,上实海上荟公寓,马陆镇
id5011000020535,东林路395弄,友谊路街道
id5011000020536,布长街52弄,罗店镇
id5011000020540,市一路160号,罗店镇
id5011000020541,石家街151弄,高桥镇
id5011000020550,盘古嘉德,菊园新区管委会
id5011000020554,东南新村崇明,新海镇
id5011000020556,卫东新村,洋泾街道
id5011000020565,绿地海域笙晖别墅,杨行镇
id5011000020566,金色郦苑,高桥镇
id5011000020567,金翼小区,高桥镇
id5011000020568,宝林雅苑,吴淞街道
id5011000020569,李金怡心园,吴淞街道
id5011000020571,淞兴路305弄,吴淞街道
id5011000020573,宝杨路3244号,杨行镇
id5011000020575,平顺路980弄,彭浦新村街道
id5011000020575,平保小区,彭浦新村街道
id5011000020578,大华朗香花园,大场镇
id5011000020578,大华朗香花园二期,大场镇
id5011000020579,迎园新村四坊,新成路街道
id5011000020580,迎园东四坊,新成路街道
id5011000020581,淞宝路160弄,吴淞街道
id5011000020582,南东路5号,罗店镇
id5011000020583,南东路19号,罗店镇
id5011000020585,岭南路1050弄,高境镇
id5011000020587,民京路900号,五角场镇
id5011000020592,工农四村星源公寓,殷行街道
id5011000020593,南东路61号,罗店镇
id5011000020594,北大街115弄,嘉定镇街道
id5011000020595,北大街161弄,嘉定镇街道
id5011000020596,开鲁路31弄,殷行街道
id5011000020599,温宿路39弄,嘉定镇街道
id5011000020600,温宿路30弄,嘉定镇街道
id5011000020601,永清路335弄,吴淞街道
id5011000020602,爱迪苑,张庙街道
id5011000020607,御岛财富,长兴镇
id5011001743815610,纪念路492号,江湾镇街道
id5011006139445670,竹园新村,奉城镇
id5011044968476640,生产街26号,南翔镇
id5011062711406,大宁北玉兰公馆,顾村镇
id5011062716321,华侨城苏河湾公寓,北站街道
id5011062719468,中山润园,长风新村街道
id5011062731154,嘉天汇,静安寺街道
id5011062964620,万科翡翠雅宾利,宝山路街道
id5011062976126,九龙仓兰廷,周浦镇
id5011063168431,西郊庄园马德里洋房,华漕镇
id5011063202027,蒋家桥路20号,欧阳路街道
id5011063202151,瑞虹新城怡庭,嘉兴路街道
id5011063202154,建设路39弄,江川路街道
id5011063202158,美源公寓,曹杨新村街道
id5011063202159,紫罗兰花苑,江川路街道
