resblock_id,resblock_name,jiedao
id5011000014556,宋家滩小区,长风新村街道
id5011000014558,徐汇长春苑,田林街道
id5011000014559,花溪园,曹杨新村街道
id5011000014560,上南二村,上钢新村街道
id5011000014561,明城花苑,潍坊新村街道
id5011000014562,放生池花园,方松街道
id5011000014563,兴银花园,颛桥镇
id5011000014564,东荷小区,浦兴路街道
id5011000014565,阳光翠庭,方松街道
id5011000014566,宝北小区,程家桥街道
id5011000014567,欣宇小区,南码头路街道
id5011000014568,东方悦居,三林镇
id5011000014569,原水小区卢湾,打浦桥街道
id5011000014571,华清名苑,广中路街道
id5011000014572,鹤北新村,江川路街道
id5011000014573,引翔港小区,大桥街道
id5011000014575,同润菲诗艾伦,泗泾镇
id5011000014577,万里双子座,长征镇
id5011000014578,万里欣苑,长征镇
id5011000014580,金鑫花园别墅,大场镇
id5011000014581,华欣苑别墅,大场镇
id5011000014582,好旺苑,大场镇
id5011000014583,申泉花苑,大场镇
id5011000014584,和诚公寓,共和新路街道
id5011000014585,南方新村,梅陇镇
id5011000014586,春之声公寓,塘桥街道
id5011000014587,半岛豪门公寓,莘庄镇
id5011000014588,梅川二街坊,长征镇
id5011000014589,绿波景园,泗泾镇
id5011000014591,瑞和苑,航头镇
id5011000014592,万里晶品苑,真如镇
id5011000014593,丁香园,康健新村街道
id5011000014593,丁香园,康健新村街道
id5011000014593,花苑村丁香园,康健新村街道
id5011000014594,申良花园,颛桥镇
id5011000014595,嘉华山庄,新成路街道
id5011000014596,雅庐苑,老西门街道
id5011000014597,曹江公寓,江桥镇
id5011000014599,虹浦新城,浦江镇
id5011000014599,虹浦新城南区,浦江镇
id5011000014600,田林八村,田林街道
id5011000014602,新乐小区,新泾镇
id5011000014604,新光大楼,潍坊新村街道
id5011000014605,华鹏花苑,大场镇
id5011000014606,行知家园,大场镇
id5011000014607,嘉华苑宝山,大场镇
id5011000014608,金华苑,长征镇
id5011000014609,铂金华府,大场镇
id5011000014610,玉华苑,大场镇
id5011000014611,远景佳苑,大场镇
id5011000014611,远景佳苑,大场镇
id5011000014611,远景佳苑一期,大场镇
id5011000014612,复星花园行知路635弄,大场镇
id5011000014613,公馆77,老西门街道
id5011000014616,梅陇十一村,凌云路街道
id5011000014617,浦煤新村,高行镇
id5011000014618,融创盛世滨江,五里桥街道
id5011000014618,融创滨江壹号院,五里桥街道
id5011000014619,东丰林居,周浦镇
id5011000014621,莘城公寓,莘庄镇
id5011000014622,怡佳公寓,桃浦镇
id5011000014623,宝虹家园,罗泾镇
id5011000014624,中复小区,小东门街道
id5011000014625,寺前浜,金杨新村街道
id5011000014627,复旦书馨公寓,五角场街道
id5011000014628,象屿名城,九亭镇
id5011000014629,梅陇十村,凌云路街道
id5011000014630,馥华苑,七宝镇
id5011000014631,海江公寓,友谊路街道
id5011000014632,华新明珠苑,华新镇
id5011000014634,海棠新村,石化街道
id5011000014635,永泉公寓,彭浦镇
id5011000014640,通河三村,张庙街道
id5011000014640,民悦苑,张庙街道
id5011000014640,民悦苑,张庙街道
id5011000014642,天星苑,江川路街道
id5011000014643,田图苑,新虹街道
id5011000014644,罗新苑,罗店镇
id5011000014645,东广大厦,广中路街道
id5011000014646,月浦八村,月浦镇
id5011000014647,佳伟小区,凉城新村街道
id5011000014648,远东小区,合庆镇
id5011000014649,上钢八九村,上钢新村街道
id5011000014649,上钢九村,上钢新村街道
id5011000014650,金铭福邸,江川路街道
id5011000014651,上海之春,新成路街道
id5011000014651,上海之春,新成路街道
id5011000014652,精文城上城,芷江西路街道
id5011000014653,嘉利坊,真新街道
id5011000014654,罗阳四村,梅陇镇
id5011000014656,蒙自新村,五里桥街道
id5011000014658,绿地新江桥城一期,江桥镇
id5011000014659,中虹翡翠园,凉城新村街道
id5011000014660,思美公寓,临汾路街道
id5011000014662,美丽家园,莘庄镇
id5011000014663,广中小区,凉城新村街道
id5011000014664,盛桥四村,月浦镇
id5011000014665,锦灏佳园,共和新路街道
id5011000014666,桃园新村川沙,川沙新镇
id5011000014667,新申花城茉莉苑,莘庄镇
id5011000014669,华南公寓,漕河泾街道
id5011000014670,罗秀新村,长桥街道
id5011000014671,君欣豪庭,江浦路街道
id5011000014672,仁恒森兰雅苑公寓,高行镇
id5011000014672,仁恒森兰雅苑,高行镇
id5011000014672,仁恒森兰雅苑一期,高行镇
id5011000014673,万科城花新园,七宝镇
id5011000014674,华丽家族汇景天地公寓,五里桥街道
id5011000014674,华丽家族汇景天地商住,五里桥街道
id5011000014674,华丽家族汇景天地商业类,五里桥街道
id5011000014675,欣源公寓,七宝镇
id5011000014677,范北小区,周家桥街道
id5011000014679,欣纪苑,华阳路街道
id5011000014680,天天花园,打浦桥街道
id5011000014681,明月清泉新苑,新桥镇
id5011000014683,名泉苑,甘泉路街道
id5011000014684,品臻国际公寓,高桥镇
id5011000014685,宏明雅舍,七宝镇
id5011000014687,紫罗兰家苑,控江路街道
id5011000014688,嘉定颐景园,菊园新区管委会
id5011000014689,富林苑一期,莘庄镇
id5011000014690,金禾新苑,东明路街道
id5011000014691,名光大厦,华阳路街道
id5011000014692,星梅花苑,长征镇
id5011000014693,东港丽景苑,高桥镇
id5011000014697,城南新村,嘉定镇街道
id5011000014699,辉煌公寓,徐家汇街道
id5011000014700,俞二小区,龙华街道
id5011000014701,三佳花苑,七宝镇
id5011000014702,泗东新村,吴淞街道
id5011000014703,水电小区,凉城新村街道
id5011000014703,华东公寓,凉城新村街道
id5011000014704,金顺小区,北蔡镇
id5011000014705,邮电二村,曲阳路街道
id5011000014706,华亭新家银杏苑,永丰街道
id5011000014707,莘松九村,莘庄镇
id5011000014709,美好家小区,大场镇
id5011000014710,祥和公寓松江,泗泾镇
id5011000014712,东旺名苑,三林镇
id5011000014713,丰庄二村,真新街道
id5011000014714,东荡小区,漕河泾街道
id5011000014715,荣欣苑,永丰街道
id5011000014716,乐山六七村,徐家汇街道
id5011000014717,金杨新村十一街坊,金杨新村街道
id5011000014718,工农三村,殷行街道
id5011000014718,工农新村,殷行街道
id5011000014719,仓城五村,永丰街道
id5011000014720,文翔名苑公寓,方松街道
id5011000014721,龙湖蓝湖郡别墅,安亭镇
id5011000014722,海上明珠园,山阳镇
id5011000014723,金星绿苑,罗店镇
id5011000014724,荷一小区,浦兴路街道
